taxon	term	p.value	method	fdr
g__Lactobacillus	treatment	0.5145495144301285	LMM	0.7432087592079412
g__Lactobacillus	day	0.006248341203353665	LMM	0.00874767768469513
g__Lactobacillus	treatment:day	0.8576771002078055	LMM	0.9990399453586847
g__Turicibacter	treatment	0.9355398320945271	LMM	0.9630557095090719
g__Turicibacter	day	1.9012600173956888e-8	LMM	1.1090683434808185e-7
g__Turicibacter	treatment:day	0.9990399453586847	LMM	0.9990399453586847
f__Clostridiaceae; g__02d06	treatment	0.1756730544638417	LMM	0.7188504236159158
f__Clostridiaceae; g__02d06	day	3.5260062996820066e-5	LMM	9.49309388375925e-5
f__Clostridiaceae; g__02d06	treatment:day	0.8320172908333672	LMM	0.9990399453586847
g__Caloramator	treatment	0.3080787529782496	LMM	0.7188504236159158
g__Caloramator	day	3.092449588053198e-13	LMM	3.6078578527287306e-12
g__Caloramator	treatment:day	0.2723565495150234	LMM	0.7771129543927818
g__Clostridium	treatment	0.558908964040849	LMM	0.7432087592079412
g__Clostridium	day	3.276827853331047e-8	LMM	1.6384139266655234e-7
g__Clostridium	treatment:day	0.15296018554990692	LMM	0.7771129543927818
f__Clostridiaceae; g__SMB53	treatment	0.27532517626782543	LMM	0.7188504236159158
f__Clostridiaceae; g__SMB53	day	7.730138791941425e-17	LMM	2.7055485771794986e-15
f__Clostridiaceae; g__SMB53	treatment:day	0.46740962200207326	LMM	0.9088520427818091
g__Pseudoramibacter_Eubacterium	treatment	0.10958084036317971	LMM	0.7188504236159158
g__Pseudoramibacter_Eubacterium	day	0.051773112126668484	LMM	0.06248479049770334
g__Pseudoramibacter_Eubacterium	treatment:day	0.5639867273074126	LMM	0.9635655974732675
g__Anaerostipes	treatment	0.35543978649024033	LMM	0.7432087592079412
g__Anaerostipes	day	3.238829778240074e-4	LMM	6.297724568800144e-4
g__Anaerostipes	treatment:day	0.23677512796513286	LMM	0.7771129543927818
g__Dorea	treatment	0.5859989286168944	LMM	0.7432087592079412
g__Dorea	day	1.4875422267875003e-6	LMM	5.206397793756251e-6
g__Dorea	treatment:day	0.8553635659231432	LMM	0.9990399453586847
g__Epulopiscium	treatment	0.02097786051984964	LMM	0.3671125590973687
g__Epulopiscium	day	0.0038851714230510796	LMM	0.005780736957164938
g__Epulopiscium	treatment:day	0.31866201982398107	LMM	0.7966550495599527
g__Lachnospira	treatment	0.5869397375145347	LMM	0.7432087592079412
g__Lachnospira	day	0.21657277535675767	LMM	0.24451764959633934
g__Lachnospira	treatment:day	0.2886419544887475	LMM	0.7771129543927818
g__Peptococcus	treatment	0.9309216080657876	LMM	0.9630557095090719
g__Peptococcus	day	0.7946257982354452	LMM	0.81799714524237
g__Peptococcus	treatment:day	0.8354137590130424	LMM	0.9990399453586847
g__Faecalibacterium	treatment	0.25045883606506986	LMM	0.7188504236159158
g__Faecalibacterium	day	2.2290467065992087e-7	LMM	8.668514970108034e-7
g__Faecalibacterium	treatment:day	0.2726480630178292	LMM	0.7771129543927818
g__Ruminococcus	treatment	9.144733768048468e-4	LMM	0.03200656818816964
g__Ruminococcus	day	0.021942163091405925	LMM	0.02844354474811879
