taxon	term	p.value	method	fdr
f__Erysipelotrichaceae; g__p-75-a5	treatment	0.5036837425041378	LMM	0.871760323564854
f__Erysipelotrichaceae; g__p-75-a5	day	0.01054521599692972	LMM	0.039544559988486445
f__Erysipelotrichaceae; g__p-75-a5	treatment:day	0.5036575813324242	LMM	0.8689425754453642
g__Cetobacterium	treatment	0.4134727604399554	LMM	0.8532682322502338
g__Cetobacterium	day	3.2891181102043943e-4	LMM	0.00719333234832891
g__Cetobacterium	treatment:day	0.6290902351609474	LMM	0.8689425754453642
c__Alphaproteobacteria; o__RF32; f__; g__	treatment	0.9166951368975148	LMM	0.9908251238850059
c__Alphaproteobacteria; o__RF32; f__; g__	day	0.20813551428518465	LMM	0.2531377876441435
c__Alphaproteobacteria; o__RF32; f__; g__	treatment:day	0.9166930372220863	LMM	0.9375269698862246
o__Tremblayales; f__; g__	treatment	0.1004445730520539	LMM	0.6945627766340445
o__Tremblayales; f__; g__	day	0.1706413515660126	LMM	0.2326927521354717
o__Tremblayales; f__; g__	treatment:day	0.17064135156601082	LMM	0.8689425754453642
g__Campylobacter	treatment	0.08652927363136732	LMM	0.6945627766340445
g__Campylobacter	day	0.04691421630726917	LMM	0.10555698669135563
g__Campylobacter	treatment:day	0.08812142497245849	LMM	0.8689425754453642
g__Escherichia	treatment	0.1371051157820296	LMM	0.7712162762739165
g__Escherichia	day	0.2911998542805855	LMM	0.3360904974091104
g__Escherichia	treatment:day	0.4640641014455844	LMM	0.8689425754453642
g__Aggregatibacter	treatment	0.3774858092106446	LMM	0.8532682322502338
g__Aggregatibacter	day	0.313818157123004	LMM	0.35304542676337947
g__Aggregatibacter	treatment:day	0.7616523102469747	LMM	0.8689425754453642
g__Gallibacterium	treatment	0.05314612193213929	LMM	0.6945627766340445
g__Gallibacterium	day	1.1100187268237578e-4	LMM	0.0049950842707069095
g__Gallibacterium	treatment:day	0.3390696718006525	LMM	0.8689425754453642
f__Synergistaceae; g__vadinCA02	treatment	0.5896173229891024	LMM	0.8844259844836536
f__Synergistaceae; g__vadinCA02	day	0.018655632225947596	LMM	0.0629913246094373
f__Synergistaceae; g__vadinCA02	treatment:day	0.5896012726877369	LMM	0.8689425754453642
f__Puniceicoccaceae; g__	treatment	0.5414674192765759	LMM	0.8844259844836536
f__Puniceicoccaceae; g__	day	0.17969231361448787	LMM	0.23782806213682217
f__Puniceicoccaceae; g__	treatment:day	0.541467419276576	LMM	0.8689425754453642
g__Akkermansia	treatment	4.799430605383582e-4	LMM	0.02159743772422612
g__Akkermansia	day	4.79555489888594e-4	LMM	0.00719333234832891
g__Akkermansia	treatment:day	4.7955563785329736e-4	LMM	0.02158000370339838
